stop_id,stop_code,stop_name,stop_lat,stop_lon
1,1312,"Colorado Blvd & Madre St",34.146132,-118.081864
3,142447,"Sierra Madre Villa Ave & Colorado Blvd",34.146606,-118.081494
4,125460,"Foothill Blvd & Sierra Madre Villa Ave",34.149990,-118.082032
5,176162,"Sierra Madre Villa Ave & Foothill Blvd",34.150611,-118.082357
6,142108,"Foothill Blvd & Sierra Madre Villa Ave",34.150162,-118.083003
7,142109,"Foothill Blvd & Santa Paula Ave",34.150118,-118.085880
8,142118,"Foothill Blvd & Kinneloa Ave",34.149928,-118.085983
9,1329,"Colorado Blvd & Kinneloa Ave",34.146093,-118.086395
18,25,"Allen Ave & Colorado Blvd",34.145463,-118.113232
19,1311,"Colorado Blvd & Bonnie Ave",34.145912,-118.115295
27,3665,"Lake Ave & Colorado Blvd",34.145339,-118.132519
28,1328,"Colorado Blvd & Hudson Ave",34.145797,-118.133480
29,1336,"Colorado Blvd & Oak Knoll Ave",34.145793,-118.134860
30,1322,"Colorado Blvd & El Molino Ave",34.145783,-118.136512
31,1334,"Colorado Blvd & Madison Ave",34.145772,-118.138103
32,1337,"Colorado Blvd & Oakland Ave",34.145769,-118.139348
33,3055,"Colorado Blvd & Los Robles Ave",34.145753,-118.141088
35,1324,"Colorado Blvd & Garfield Ave",34.145735,-118.143720
36,1345,"Colorado Blvd & Marengo Ave",34.145730,-118.145563
37,1316,"Colorado Blvd & Arroyo Pkwy",34.145696,-118.147018
38,1348,"Colorado Blvd & Raymond Ave",34.145713,-118.148484
39,1323,"Colorado Blvd & Fair Oaks Ave",34.145688,-118.149901
40,7575,"Colorado Blvd & De Lacey Ave",34.145647,-118.151841
45,15923,"Colorado Blvd & Terrace Dr",34.145838,-118.158331
46,15922,"Colorado Blvd & St John Ave",34.145880,-118.155835
47,15920,"Colorado Blvd & De Lacey Ave",34.145852,-118.152605
48,9849,"Colorado Blvd & Fair Oaks Ave",34.145879,-118.150785
49,9862,"Colorado Blvd & Marengo Ave",34.145916,-118.146547
50,9850,"Colorado Blvd & Garfield Ave",34.145928,-118.144765
51,9848,"Colorado Blvd & Euclid Ave",34.145938,-118.143396
52,9859,"Colorado Blvd & Los Robles Ave",34.145954,-118.142037
53,9866,"Colorado Blvd & Oakland Ave",34.145960,-118.140149
